[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
for our 25th wedding anniversary i took my wife on a 2nd honeymoon .|||for our 25th wedding anniversary , my wife and i took a 2nd honeymoon . we went back to the place where we had our honeymoon , and it was just as magical as the first time . we were able to relax and spend quality time together , and it was the perfect way to celebrate our anniversary .
when [MALE] drove to wisconsin , he passed through a lot of tolls .|||[MALE] had to keep track of all the tolls he was paying . he did n't want to get charged twice for the same toll . he also wanted to make sure he had enough money to pay for them all .
[NEUTRAL] was eager to go shopping .|||[NEUTRAL] woke up early and got dressed quickly . she put on her favorite dress and shoes . she was so excited to go shopping with her friends . when she got to the mall , she saw that they had already left .
we are having a yard sale on [NEUTRAL] .|||we are having a yard sale on saturday . come by and check out the deals ! we have a variety of items from clothes to furniture .
[MALE] needed to sell his old car .|||he put an ad in the paper and waited for a buyer . it only took a few days for someone to show interest . the buyer came to see the car and [MALE] took him for a test drive . the buyer liked it and [MALE] sold the car for a good price .
[MALE] could n't afford the payments on his new car .|||he started to drive his old car again . he was driving to work one day when he got a flat tire . he had to call a tow truck to take his car to the shop . the repair bill was more than he could afford .
the children 's school called the house today .|||the school called to say that the children had not turned in their homework . the mother was angry and the father was disappointed . the children were in their room , crying .
i moved into my new house in [NEUTRAL] .|||i moved into my new house in [NEUTRAL] a few months ago . it 's a great house , but i 'm not too thrilled about the neighbourhood . it seems a bit shady and dangerous . but , i 'm not going to let that stop me from enjoying my new home .
[NEUTRAL] was trying to get a loan for a car .|||he went to the bank and filled out the paperwork . the loan officer told him he needed a cosigner . [NEUTRAL] did n't know anyone who could cosign for him .
[NEUTRAL] 's bike was stolen .|||he reported it to the police and they found it within a few hours . the thief had left it at the side of the road a few blocks away .
at our apartment , we thought a lady was selling drugs .|||the lady was knocking on a lot of doors and she looked suspicious . we called the police and they took her away . we were glad that we called because she could have been selling drugs to our kids .
[MALE] has always been an innovator in his field .|||from the time he was young , [MALE] has always been an innovator in his field . he has always been one to think outside the box and come up with new ideas . when he was still in school , he would come up with new ways to do his homework and get better grades . and even now , as an adult , he is always coming up with new ways to improve his job and make his company more successful .
[MALE] wanted to scare his wife .|||[MALE] took her to a haunted house . she was so scared that she clung to him the whole time . afterwards , she was so grateful that he had been there for her .
[NEUTRAL] won his swim meet this weekend .|||he was the only one from his team to win a medal . his parents were so proud of him and his coach gave him a trophy . [NEUTRAL] was really happy and he said it was the best day of his life .
